x,f(x)
0.545,0.6333
0.546,0.6335
0.547,0.6336
0.548,0.6338
0.549,0.634
0.55,0.6342
0.551,0.6344
0.552,0.6345
0.553,0.6347
0.554,0.6349
0.555,0.6351
0.556,0.6353
0.557,0.6354
0.558,0.6356
0.559,0.6358
0.56,0.636
0.561,0.6361
0.562,0.6363
0.563,0.6365
0.564,0.6367
0.565,0.6368
0.566,0.637
0.567,0.6372
0.568,0.6374
0.569,0.6375
0.57,0.6377
0.571,0.6379
0.572,0.6381
0.573,0.6382
0.574,0.6384
0.575,0.6386
0.576,0.6388
0.577,0.6389
0.578,0.6391
0.579,0.6393
0.58,0.6394
0.581,0.6396
0.582,0.6398
0.583,0.6399
0.584,0.6401
0.585,0.6403
0.586,0.6404
0.587,0.6406
0.588,0.6408
0.589,0.6409
0.59,0.6411
0.591,0.6413
0.592,0.6414
0.593,0.6416
0.594,0.6418
0.595,0.6419
0.596,0.6421
0.597,0.6423
0.598,0.6424
0.599,0.6426
0.6,0.6428
0.601,0.6429
0.602,0.6431
0.603,0.6433
0.604,0.6434
0.605,0.6436
0.606,0.6437
0.607,0.6439
0.608,0.6441
0.609,0.6442
0.61,0.6444
0.611,0.6445
0.612,0.6447
0.613,0.6449
0.614,0.645
0.615,0.6452
0.616,0.6453
0.617,0.6455
0.618,0.6456
0.619,0.6458
0.62,0.646
0.621,0.6461
0.622,0.6463
0.623,0.6464
0.624,0.6466
0.625,0.6467
0.626,0.6469
0.627,0.647
0.628,0.6472
0.629,0.6473
0.63,0.6475
0.631,0.6476
0.632,0.6478
0.633,0.6479
0.634,0.6481
0.635,0.6482
0.636,0.6484
0.637,0.6486
0.638,0.6487
0.639,0.6488
0.64,0.649
0.641,0.6491
0.642,0.6493
0.643,0.6494
0.644,0.6496
0.645,0.6497
0.646,0.6499
0.647,0.65
0.648,0.6502
0.649,0.6503
0.65,0.6505
0.651,0.6506
0.652,0.6507
0.653,0.6509
0.654,0.651
0.655,0.6512
0.656,0.6513
0.657,0.6515
0.658,0.6516
0.659,0.6518
0.66,0.6519
0.661,0.652
0.662,0.6522
0.663,0.6523
0.664,0.6525
0.665,0.6526
0.666,0.6527
0.667,0.6529
0.668,0.653
0.669,0.6531
0.67,0.6533
0.671,0.6534
0.672,0.6536
0.673,0.6537
0.674,0.6538
0.675,0.654
0.676,0.6541
0.677,0.6542
0.678,0.6544
0.679,0.6545
0.68,0.6546
0.681,0.6548
0.682,0.6549
0.683,0.655
0.684,0.6552
0.685,0.6553
0.686,0.6554
0.687,0.6556
0.688,0.6557
0.689,0.6558
0.69,0.656
0.691,0.6561
0.692,0.6562
0.693,0.6563
0.694,0.6565
0.695,0.6566
0.696,0.6567
0.697,0.6569
0.698,0.657
0.699,0.6571
0.7,0.6572
0.701,0.6574
0.702,0.6575
0.703,0.6576
0.704,0.6577
0.705,0.6579
0.706,0.658
0.707,0.6581
0.708,0.6582
0.709,0.6583
0.71,0.6585
0.711,0.6586
0.712,0.6587
0.713,0.6588
0.714,0.659
0.715,0.6591
0.716,0.6592
0.717,0.6593
0.718,0.6594
0.719,0.6596
0.72,0.6597
0.721,0.6598
0.722,0.6599
0.723,0.66
0.724,0.6601
0.725,0.6603
0.726,0.6604
0.727,0.6605
0.728,0.6606
0.729,0.6607
0.73,0.6608
0.731,0.6609
0.732,0.6611
0.733,0.6612
0.734,0.6613
0.735,0.6614
0.736,0.6615
0.737,0.6616
0.738,0.6617
0.739,0.6618
0.74,0.662
0.741,0.6621
0.742,0.6622
0.743,0.6623
0.744,0.6624
0.745,0.6625
0.746,0.6626
0.747,0.6627
0.748,0.6628
0.749,0.6629
0.75,0.663
0.751,0.6631
0.752,0.6632
0.753,0.6633
0.754,0.6635
0.755,0.6636
0.756,0.6637
0.757,0.6638
0.758,0.6639
0.759,0.664
0.76,0.6641
0.761,0.6642
0.762,0.6643
0.763,0.6644
0.764,0.6645
0.765,0.6646
0.766,0.6647
0.767,0.6648
0.768,0.6649
0.769,0.665
0.77,0.6651
0.771,0.6652
0.772,0.6653
0.773,0.6654
0.774,0.6655
0.775,0.6656
0.776,0.6657
0.777,0.6658
0.778,0.6658
0.779,0.6659
0.78,0.666
0.781,0.6661
0.782,0.6662
0.783,0.6663
0.784,0.6664
0.785,0.6665
0.786,0.6666
0.787,0.6667
0.788,0.6668
0.789,0.6669
0.79,0.6669
0.791,0.667
0.792,0.6671
0.793,0.6672
0.794,0.6673
0.795,0.6674
0.796,0.6675
0.797,0.6676
0.798,0.6677
0.799,0.6677
0.8,0.6678
0.801,0.6679
0.802,0.668
0.803,0.6681
0.804,0.6682
0.805,0.6682
0.806,0.6683
0.807,0.6684
0.808,0.6685
0.809,0.6686
0.81,0.6687
0.811,0.6687
0.812,0.6688
0.813,0.6689
0.814,0.669
0.815,0.6691
0.816,0.6691
0.817,0.6692
0.818,0.6693
0.819,0.6694
0.82,0.6695
0.821,0.6695
0.822,0.6696
0.823,0.6697
0.824,0.6698
0.825,0.6698
0.826,0.6699
0.827,0.67
0.828,0.6701
0.829,0.6701
0.83,0.6702
0.831,0.6703
0.832,0.6704
0.833,0.6704
0.834,0.6705
0.835,0.6706
0.836,0.6706
0.837,0.6707
0.838,0.6708
0.839,0.6709
0.84,0.6709
0.841,0.671
0.842,0.6711
0.843,0.6711
0.844,0.6712
0.845,0.6713
0.846,0.6713
0.847,0.6714
0.848,0.6715
0.849,0.6715
0.85,0.6716
0.851,0.6716
0.852,0.6717
0.853,0.6718
0.854,0.6718
0.855,0.6719
0.856,0.672
0.857,0.672
0.858,0.6721
0.859,0.6722
0.86,0.6722
0.861,0.6723
0.862,0.6723
0.863,0.6724
0.864,0.6725
0.865,0.6725
0.866,0.6726
0.867,0.6726
0.868,0.6727
0.869,0.6727
0.87,0.6728
0.871,0.6729
0.872,0.6729
0.873,0.673
0.874,0.673
0.875,0.6731
0.876,0.6731
0.877,0.6732
0.878,0.6732
0.879,0.6733
0.88,0.6733
0.881,0.6734
0.882,0.6734
0.883,0.6735
0.884,0.6735
0.885,0.6736
0.886,0.6736
0.887,0.6737
0.888,0.6737
0.889,0.6738
0.89,0.6738
0.891,0.6739
0.892,0.6739
0.893,0.674
0.894,0.674
0.895,0.6741
0.896,0.6741
0.897,0.6742
0.898,0.6742
0.899,0.6743
0.9,0.6743
0.901,0.6743
0.902,0.6744
0.903,0.6744
0.904,0.6745
0.905,0.6745
0.906,0.6745
0.907,0.6746
0.908,0.6746
0.909,0.6747
0.91,0.6747
0.911,0.6747
0.912,0.6748
0.913,0.6748
0.914,0.6749
0.915,0.6749
0.916,0.6749
0.917,0.675
0.918,0.675
0.919,0.675
0.92,0.6751
0.921,0.6751
0.922,0.6751
0.923,0.6752
0.924,0.6752
0.925,0.6752
0.926,0.6753
0.927,0.6753
0.928,0.6753
0.929,0.6754
0.93,0.6754
0.931,0.6754
0.932,0.6755
0.933,0.6755
0.934,0.6755
0.935,0.6755
0.936,0.6756
0.937,0.6756
0.938,0.6756
0.939,0.6757
0.94,0.6757
0.941,0.6757
0.942,0.6757
0.943,0.6758
0.944,0.6758
0.945,0.6758
0.946,0.6758
0.947,0.6759
0.948,0.6759
0.949,0.6759
0.95,0.6759
0.951,0.6759
0.952,0.676
0.953,0.676
0.954,0.676
0.955,0.676
0.956,0.676
0.957,0.6761
0.958,0.6761
0.959,0.6761
0.96,0.6761
0.961,0.6761
0.962,0.6762
0.963,0.6762
0.964,0.6762
0.965,0.6762
0.966,0.6762
0.967,0.6762
0.968,0.6762
0.969,0.6763
0.97,0.6763
0.971,0.6763
0.972,0.6763
0.973,0.6763
0.974,0.6763
0.975,0.6763
0.976,0.6763
0.977,0.6763
0.978,0.6764
0.979,0.6764
0.98,0.6764
0.981,0.6764
0.982,0.6764
0.983,0.6764
0.984,0.6764
0.985,0.6764
0.986,0.6764
0.987,0.6764
0.988,0.6764
0.989,0.6764
0.99,0.6764
0.991,0.6764
0.992,0.6764
0.993,0.6765
0.994,0.6765
0.995,0.6765
0.996,0.6765
0.997,0.6765
0.998,0.6765
0.999,0.6765
1,0.6765
